CVE_SUN,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,TIPO
01,01,Aguascalientes,01001,Aguascalientes,,,Aguascalientes,1
01,01,Aguascalientes,01005,Jesús María,,,Aguascalientes,1
01,01,Aguascalientes,01011,San Francisco de los Romo,,,Aguascalientes,1
02,02,Baja California,02003,Tecate,,,Tijuana,1
02,02,Baja California,02004,Tijuana,,,Tijuana,1
02,02,Baja California,02005,Playas de Rosarito,,,Tijuana,1
03,02,Baja California,02002,Mexicali,,,Mexicali,1
04,05,Coahuila de Zaragoza,05017,Matamoros,,,La Laguna,1
04,05,Coahuila de Zaragoza,05035,Torreón,,,La Laguna,1
04,10,Durango,10007,Gómez Palacio,,,La Laguna,1
04,10,Durango,10012,Lerdo,,,La Laguna,1
05,05,Coahuila de Zaragoza,05004,Arteaga,,,Saltillo,1
05,05,Coahuila de Zaragoza,05027,Ramos Arizpe,,,Saltillo,1
05,05,Coahuila de Zaragoza,05030,Saltillo,,,Saltillo,1
06,05,Coahuila de Zaragoza,05006,Castaños,,,Monclova-Frontera,1
06,05,Coahuila de Zaragoza,05010,Frontera,,,Monclova-Frontera,1
06,05,Coahuila de Zaragoza,05018,Monclova,,,Monclova-Frontera,1
07,05,Coahuila de Zaragoza,05022,Nava,,,Piedras Negras,1
07,05,Coahuila de Zaragoza,05025,Piedras Negras,,,Piedras Negras,1
08,06,Colima,06002,Colima,,,Colima-Villa de Álvarez,1
08,06,Colima,06003,Comala,,,Colima-Villa de Álvarez,1
08,06,Colima,06004,Coquimatlán,,,Colima-Villa de Álvarez,1
08,06,Colima,06005,Cuauhtémoc,,,Colima-Villa de Álvarez,1
08,06,Colima,06010,Villa de Álvarez,,,Colima-Villa de Álvarez,1
09,06,Colima,06001,Armería,,,Tecomán,1
09,06,Colima,06009,Tecomán,,,Tecomán,1
10,07,Chiapas,07012,Berriozábal,,,Tuxtla Gutiérrez,1
10,07,Chiapas,07027,Chiapa de Corzo,,,Tuxtla Gutiérrez,1
10,07,Chiapas,07101,Tuxtla Gutiérrez,,,Tuxtla Gutiérrez,1
11,08,Chihuahua,08037,Juárez,,,Juárez,1
12,08,Chihuahua,08002,Aldama,,,Chihuahua,1
12,08,Chihuahua,08004,Aquiles Serdán,,,Chihuahua,1
12,08,Chihuahua,08019,Chihuahua,,,Chihuahua,1
13,09,Ciudad de México,09002,Azcapotzalco,,,Valle de México,1
13,09,Ciudad de México,09003,Coyoacán,,,Valle de México,1
13,09,Ciudad de México,09004,Cuajimalpa de Morelos,,,Valle de México,1
13,09,Ciudad de México,09005,Gustavo A. Madero,,,Valle de México,1
13,09,Ciudad de México,09006,Iztacalco,,,Valle de México,1
13,09,Ciudad de México,09007,Iztapalapa,,,Valle de México,1
13,09,Ciudad de México,09008,La Magdalena Contreras,,,Valle de México,1
13,09,Ciudad de México,09009,Milpa Alta,,,Valle de México,1
13,09,Ciudad de México,09010,Álvaro Obregón,,,Valle de México,1
13,09,Ciudad de México,09011,Tláhuac,,,Valle de México,1
13,09,Ciudad de México,09012,Tlalpan,,,Valle de México,1
13,09,Ciudad de México,09013,Xochimilco,,,Valle de México,1
13,09,Ciudad de México,09014,Benito Juárez,,,Valle de México,1
13,09,Ciudad de México,09015,Cuauhtémoc,,,Valle de México,1
13,09,Ciudad de México,09016,Miguel Hidalgo,,,Valle de México,1
13,09,Ciudad de México,09017,Venustiano Carranza,,,Valle de México,1
13,13,Hidalgo,13069,Tizayuca,,,Valle de México,1
13,15,México,15002,Acolman,,,Valle de México,1
13,15,México,15009,Amecameca,,,Valle de México,1
13,15,México,15010,Apaxco,,,Valle de México,1
13,15,México,15011,Atenco,,,Valle de México,1
13,15,México,15013,Atizapán de Zaragoza,,,Valle de México,1
13,15,México,15015,Atlautla,,,Valle de México,1
13,15,México,15016,Axapusco,,,Valle de México,1
13,15,México,15017,Ayapango,,,Valle de México,1
13,15,México,15020,Coacalco de Berriozábal,,,Valle de México,1
13,15,México,15022,Cocotitlán,,,Valle de México,1
13,15,México,15023,Coyotepec,,,Valle de México,1
13,15,México,15024,Cuautitlán,,,Valle de México,1
13,15,México,15025,Chalco,,,Valle de México,1
13,15,México,15028,Chiautla,,,Valle de México,1
13,15,México,15029,Chicoloapan,,,Valle de México,1
13,15,México,15030,Chiconcuac,,,Valle de México,1
13,15,México,15031,Chimalhuacán,,,Valle de México,1
13,15,México,15033,Ecatepec de Morelos,,,Valle de México,1
13,15,México,15034,Ecatzingo,,,Valle de México,1
13,15,México,15035,Huehuetoca,,,Valle de México,1
13,15,México,15036,Hueypoxtla,,,Valle de México,1
13,15,México,15037,Huixquilucan,,,Valle de México,1
13,15,México,15038,Isidro Fabela,,,Valle de México,1
13,15,México,15039,Ixtapaluca,,,Valle de México,1
13,15,México,15044,Jaltenco,,,Valle de México,1
13,15,México,15046,Jilotzingo,,,Valle de México,1
13,15,México,15050,Juchitepec,,,Valle de México,1
13,15,México,15053,Melchor Ocampo,,,Valle de México,1
13,15,México,15057,Naucalpan de Juárez,,,Valle de México,1
13,15,México,15058,Nezahualcóyotl,,,Valle de México,1
13,15,México,15059,Nextlalpan,,,Valle de México,1
13,15,México,15060,Nicolás Romero,,,Valle de México,1
13,15,México,15061,Nopaltepec,,,Valle de México,1
13,15,México,15065,Otumba,,,Valle de México,1
13,15,México,15068,Ozumba,,,Valle de México,1
13,15,México,15069,Papalotla,,,Valle de México,1
13,15,México,15070,La Paz,,,Valle de México,1
13,15,México,15075,San Martín de las Pirámides,,,Valle de México,1
13,15,México,15081,Tecámac,,,Tecámac,1
13,15,México,15083,Temamatla,,,Temamatla,1
13,15,México,15084,Temascalapa,,,Temascalapa,1
13,15,México,15089,Tenango del Aire,,,Tenango del Aire,1
13,15,México,15091,Teoloyucan,,,Teoloyucan,1
13,15,México,15092,Teotihuacán,,,Teotihuacán,1
13,15,México,15093,Tepetlaoxtoc,,,Tepetlaoxtoc,1
13,15,México,15094,Tepetlixpa,,,Tepetlixpa,1
13,15,México,15095,Tepotzotlán,,,Tepotzotlán,1
13,15,México,15096,Tequixquiac,,,Tequixquiac,1
13,15,México,15099,Texcoco,,,Texcoco,1
13,15,México,15100,Tezoyuca,,,Tezoyuca,1
13,15,México,15103,Tlalmanalco,,,Tlalmanalco,1
13,15,México,15104,Tlalnepantla de Baz,,,Tlalnepantla de Baz,1
13,15,México,15108,Tultepec,,,Tultepec,1
